"","WT_V_1","WT_V_2","WT_V_3","WT_10_1","WT_10_2","WT_10_3"
"GPR65",1707.90483396089,1562.87537518318,1523.71761274511,1519.77467956102,1486.39651619742,1584.92529033514
"LRRC46",25.2160849988547,36.9100122344205,29.4069875226004,22.515180437941,28.9298650803525,19.779317242381
"ZNF490",306.472417678388,296.33466965349,243.969081668981,186.26194725933,309.250281893423,269.170708559359
"DCUN1D5",932.025295534591,898.495154963608,921.418942374812,890.373044591304,1014.54044092133,989.825832433936
"NIPBL-DT",649.799113432025,589.505623972602,558.732762929408,587.441525971734,606.529585132908,723.235034819236
"TRIOBP",1458.65353224144,1712.62456767711,1823.23322640122,1771.53533354891,1802.62986897231,1665.76249993444
"NKILA",37.824127498282,53.7831606844413,43.5659074408895,27.6322669011094,51.8742408337355,29.2389907061284
"QDPR",1228.79921898265,1318.21472265787,1239.45006669331,1270.0608601584,1186.12446829445,1161.81989541116
"CCNH",1077.50270898952,961.769461651186,933.399566921057,910.841390443978,933.736335007239,979.506188655303
"SLC35G2",53.341718266808,21.091435562526,38.1201690107783,26.6088496084758,17.9564679809084,42.1385454294204
"ACTR5",591.608148050052,487.212161494351,668.736679217654,690.806672527736,616.505400677857,568.440378139732
"MYO10",1004.76400226206,1002.89776099811,975.876326675924,1019.32362346315,933.736335007239,885.769424332714
"RRAGC-DT",11.6381930763945,10.545717781263,15.2480676043113,5.11708646316842,12.9685602084339,6.87976251908904
"MTDHP1",14.5477413454931,0,3.26744305806671,6.1405037558021,11.970978653939,12.899554723292
"VWA1",4.84924711516436,31.637153343789,29.4069875226004,28.6556841937431,12.9685602084339,1.71994062977226
"LDB2",248.281452296415,284.734380094101,304.961352086226,277.346086303728,332.194657646806,300.989610210146
"RAB3D",5.81909653819724,6.3274306687578,9.80232917420013,13.3044248042379,4.98790777247457,15.4794656679504
"ADPRS",1027.07053899181,1092.53636213885,1102.2174582545,1114.50143167808,1174.15348964051,1087.86244833096
"ASPN",19.3969884606575,12.6548613375156,8.7131814881779,11.2575902189705,3.99032621797966,12.0395844084058
"GNRHR",13.5778919224602,8.4365742250104,6.53488611613342,6.1405037558021,5.98548932696948,6.01979220420291
