"gene","AD_logFC","AD_padj","AD_label","AD_drug_logFC","AD_drug_padj","AD_drug_label"
"MUL1",-1.57586374273466,1.1549578421006e-31,"down",1.546742733485,2.08638779200663e-29,"up"
"SPINK5",4.55271520373015,3.14665701661588e-31,"up",-1.7860900701641,4.31900734661565e-13,"down"
"CCL3L1",3.50731247949921,9.95776857251023e-31,"up",-2.08421425046705,9.26491630432015e-18,"down"
"USP37",-1.83793265185026,2.09405668964623e-30,"down",1.73773535737631,1.42080857174731e-30,"up"
"LPAR2",1.59110562126533,1.25358257282034e-29,"up",-1.67914395043779,8.87351109540869e-48,"down"
"PLCL2",-1.55287767545112,3.38392787198456e-29,"down",1.73614605505732,1.62462588060946e-43,"up"
"EGR3",2.39728101012708,1.03295300546239e-28,"up",-1.60583149662933,6.70280855697582e-21,"down"
"ARHGAP33",1.57762704728169,1.40152867733696e-28,"up",-1.64308187688424,3.55369518085607e-35,"down"
"VGLL4",-1.88880254890999,2.39024663850902e-28,"down",1.94590204478409,1.28319276511919e-32,"up"
"MMGT1",-1.73190958531372,3.08579148143809e-28,"down",1.76670348120782,4.63270685031597e-35,"up"
"ARHGAP27P1-BPTFP1-KPNA2P3",1.87590198900184,4.31408038418081e-28,"up",-1.59743357137066,7.24556154226006e-24,"down"
"TNFRSF13C",2.4006680440234,4.55214729205212e-27,"up",-1.89311524408626,2.88178338973676e-19,"down"
"SLC12A2",-1.64767097411,4.94421166456454e-27,"down",1.68237833684797,1.14896472482624e-36,"up"
"UNC119B",-1.6988973093698,2.34580852839721e-26,"down",1.82206835631772,1.74820424013555e-32,"up"
"TENM4",-1.62811466977998,3.32966280500603e-26,"down",1.62669690644275,2.13803363733173e-27,"up"
"RNASEH2B-AS1",1.72481050594246,3.36710271140473e-26,"up",-1.73564070557965,8.54779931484073e-26,"down"
"EGLN1",-2.21345073194459,8.61599681298295e-26,"down",1.9943885972947,1.30813338542953e-18,"up"
"SEMA3F-AS1",2.77557255813935,1.14076631372843e-25,"up",-1.95014018934146,1.56732453557246e-17,"down"
"HSH2D",2.31532650727239,1.4608237432086e-25,"up",-1.94911288632513,1.45938602676556e-25,"down"
"SELENOP",-2.72054423237378,1.83395885679576e-25,"down",2.01991834862416,4.11964093324733e-12,"up"
"TPM2",1.87374205579395,3.31282089254792e-25,"up",-1.67009800530637,4.24693890349662e-21,"down"
"F8",-2.04286337449437,1.03493390820745e-24,"down",1.75411093467886,3.24706015273446e-16,"up"
"PDXDC2P-NPIPB14P",1.61253252591822,2.0246850933362e-24,"up",-1.6036188894848,4.70530019626858e-26,"down"
"IL1RN",-1.78260922876068,7.92244061268077e-24,"down",1.99974378953844,2.66815452506211e-34,"up"
"TNFRSF10C",-1.85693327705622,1.10134014492878e-23,"down",1.5028627505688,8.27199582525281e-14,"up"
"SLC9A7P1",-2.6795911782184,1.14023740699037e-23,"down",2.26370817938807,3.63405769898663e-16,"up"
"DPRXP4",2.65291838116791,2.31120560065935e-23,"up",-2.15434362336248,1.4510289235625e-20,"down"
"NPIPB15",2.37038619428194,3.04224079661962e-23,"up",-2.0690670343457,2.96360069524787e-24,"down"
"NPEPL1",2.02642382148139,6.09126381698031e-23,"up",-1.79383994644736,1.800135168254e-21,"down"
